code,pubDate,statDate,NRTurnRatio,NRTurnDays,INVTurnRatio,INVTurnDays,CATurnRatio,AssetTurnRatio
sz.002054,2024-03-30,2023-12-31,3.213926,112.012524,5.333279,67.500422,1.072320,0.417765
sz.002055,2024-04-30,2023-12-31,2.752514,130.789526,4.044139,89.018570,1.220470,0.695380
sz.002056,2024-03-09,2023-12-31,7.841346,45.910484,7.820444,46.033451,1.502775,1.016397
sz.002057,2024-04-27,2023-12-31,1.852176,194.366010,4.808310,74.870536,0.819940,0.537927
sz.002058,2024-04-27,2023-12-31,2.555247,140.886568,0.917955,392.156863,0.577862,0.459264
sz.002059,2024-03-30,2023-12-31,2.298700,156.610260,6.764381,53.219798,0.453700,0.159624
sz.002060,2024-04-15,2023-12-31,2.474677,145.473510,2.582180,139.416002,0.923167,0.670283
sz.002061,2024-04-30,2023-12-31,7.411386,48.573910,1.579379,227.934659,0.936484,0.717660
sz.002062,2024-04-18,2023-12-31,3.454022,104.226331,0.749013,480.640854,0.519778,0.401785
sz.002063,2024-03-30,2023-12-31,1.560649,230.673303,2.142992,167.988801,0.776425,0.583966
sz.002064,2024-04-20,2023-12-31,11.289904,31.886897,6.891474,52.238265,1.358363,0.770507
sz.002065,2024-04-12,2023-12-31,1.799266,200.081625,0.917312,392.456121,0.587644,0.502517
sz.002066,2024-03-06,2023-12-31,3.464274,103.917871,3.357623,107.219442,1.398007,1.001238
sz.002067,2024-04-27,2023-12-31,11.666992,30.856282,6.974685,51.615123,1.867658,0.676206
sz.002068,2024-03-29,2023-12-31,4.774182,75.405589,8.062301,44.652270,2.120442,1.156094
sz.002069,2024-04-27,2023-12-31,6.595759,54.580531,1.873207,192.184497,1.053366,0.694688
sz.002072,2024-04-25,2023-12-31,8.588034,41.918792,13.498518,26.669630,3.196143,3.086693
sz.002073,2024-04-03,2023-12-31,3.451479,104.303110,0.808786,445.103858,0.515949,0.380476
sz.002074,2024-04-20,2023-12-31,2.902696,124.022613,3.959549,90.920571,0.790967,0.380285
sz.002075,2024-04-26,2023-12-31,359.524112,1.001324,6.851462,52.543239,1.247322,0.761867
sz.002076,2024-04-27,2023-12-31,5.641744,63.810052,0.809179,444.883836,0.413192,0.237208
sz.002077,2024-04-27,2023-12-31,3.385781,106.327012,1.855525,194.017785,0.605698,0.108287
sz.002078,2024-04-10,2023-12-31,16.672329,21.592664,6.710163,53.649668,3.106875,0.802404
sz.002079,2024-03-30,2023-12-31,4.426442,81.329434,8.158245,44.127381,1.871698,1.113061
sz.002080,2024-03-22,2023-12-31,3.402719,105.797760,5.389024,66.802746,1.271433,0.499333
sz.002081,2024-04-30,2023-12-31,1.453063,247.752470,1.703065,211.379250,0.624355,0.544715
sz.002082,2024-04-26,2023-12-31,1.328573,270.967504,3.366106,106.948694,0.747773,0.362298
sz.002083,2024-04-12,2023-12-31,8.814739,40.840690,3.956417,90.991811,1.646910,0.684765
sz.002084,2024-04-20,2023-12-31,3.482602,103.370973,2.831553,127.136601,1.212454,0.735913
sz.002085,2024-04-25,2023-12-31,4.374587,82.293484,4.342418,82.903464,1.702986,0.904603
sz.002086,2024-04-30,2023-12-31,3.096809,116.248687,2.415735,149.025127,0.424393,0.185680
sz.002087,2024-04-30,2023-12-31,1.907299,188.748629,5.222535,68.932504,1.006382,0.435205
sz.002088,2024-04-27,2023-12-31,2.235796,161.016483,8.115867,44.357373,1.159727,0.879935
sz.002089,2024-04-30,2023-12-31,1.171946,307.181451,10.442478,34.474503,0.184085,0.048637
sz.002090,2024-04-12,2023-12-31,2.131676,168.881168,1.812815,198.587820,0.701484,0.584640
sz.002091,2024-04-25,2023-12-31,6.623009,54.355955,8.535770,42.175309,1.094953,0.900998
sz.002092,2024-04-30,2023-12-31,7.374256,48.818487,9.832066,36.614762,1.937134,0.485481
sz.002093,2024-04-20,2023-12-31,3.063357,117.518121,0.200399,1796.407186,0.226583,0.121653
sz.002094,2024-04-20,2023-12-31,11.076211,32.502090,5.923058,60.778984,1.144590,0.785211
sz.002095,2024-04-27,2023-12-31,6.635375,54.254655,17.998694,20.001445,0.305662,0.268638
sz.002096,2024-03-29,2023-12-31,6.300088,57.142058,13.920213,25.861697,2.258827,1.203073
sz.002097,2024-04-30,2023-12-31,1.240367,290.236664,1.544164,233.130424,0.573173,0.348640
sz.002098,2024-04-27,2023-12-31,5.365927,67.089987,5.569157,64.641241,2.154522,1.109054
sz.002099,2024-04-29,2023-12-31,4.703185,76.543869,2.069298,173.971875,0.739816,0.272967
sz.002100,2024-04-29,2023-12-31,45.853817,7.851037,3.486045,103.270224,1.781700,1.053664
sz.002101,2024-04-23,2023-12-31,3.395187,106.032451,5.097813,70.618698,1.352772,0.692418
sz.002102,2024-04-19,2023-12-31,31.394584,11.466946,6.040422,59.598702,2.342013,1.216308
sz.002103,2024-04-19,2023-12-31,4.349338,82.771218,11.943671,30.141413,1.845295,1.289879
sz.002104,2024-04-30,2023-12-31,8.677642,41.485925,2.741503,131.314974,0.680845,0.540592
sz.002105,2024-04-24,2023-12-31,3.265260,110.251546,3.095053,116.312882,0.860820,0.533738
sz.002106,2024-03-30,2023-12-31,4.096438,87.881221,8.243001,43.673420,1.146802,0.862446
sz.002107,2024-03-30,2023-12-31,8.766720,41.064387,1.575199,228.542407,1.429809,0.810360
sz.002108,2024-04-26,2023-12-31,2.737432,131.510117,5.100582,70.579932,0.945526,0.370929
sz.002109,2024-04-26,2023-12-31,37.348139,9.639035,14.509733,24.810989,1.469040,0.303222
sz.002110,2024-04-26,2023-12-31,222.003570,1.621596,14.733444,24.434279,2.642184,1.014408
sz.002111,2024-04-23,2023-12-31,1.654903,217.535424,1.181125,304.800610,0.602165,0.421704
sz.002112,2024-04-20,2023-12-31,2.607146,138.082024,2.544591,141.476067,1.210424,0.947367
sz.002113,2024-04-30,2023-12-31,2.379436,151.296354,11.962579,30.093792,0.737141,0.244875
sz.002114,2024-03-30,2023-12-31,230.016249,1.565107,5.868787,61.341330,2.570376,0.626169
sz.002115,2024-04-27,2023-12-31,13.310499,27.046318,29.540688,12.186576,4.457850,2.790913
sz.002116,2024-04-26,2023-12-31,11.451415,31.437163,11.589603,31.062332,1.264849,1.129353
sz.002117,2024-03-26,2023-12-31,5.510442,65.330511,3.846544,93.591577,0.913163,0.539205
sz.002119,2024-03-26,2023-12-31,4.661494,77.228465,3.828705,94.026693,1.601586,0.842412
sz.002120,2024-04-30,2023-12-31,37.288545,9.654439,222.029891,1.621403,3.380648,1.181404
sz.002121,2024-03-22,2023-12-31,3.041088,118.378691,2.922370,123.186422,1.102357,0.502780
sz.002122,2024-04-19,2023-12-31,4.217621,85.356170,0.872394,412.654746,0.443053,0.220959
sz.002123,2024-04-26,2023-12-31,2.899809,124.146095,,,1.491952,0.984330
sz.002124,2024-04-30,2023-12-31,206.102328,1.746705,4.790498,75.148732,2.575085,0.556907
sz.002125,2024-04-26,2023-12-31,5.518693,65.232831,3.252809,110.673881,1.175307,0.426227
sz.002126,2024-04-16,2023-12-31,2.743121,131.237374,4.217622,85.356601,1.229631,0.742460
sz.002127,2024-04-20,2023-12-31,5.344809,67.355072,34.449343,10.450140,0.714251,0.514636
sz.002128,2024-04-26,2023-12-31,15.715540,22.907262,9.069294,39.694353,3.685093,0.592472
sz.002129,2024-04-26,2023-12-31,12.654295,28.448838,6.185030,58.205335,1.779992,0.505100
