code,pubDate,statDate,dupontROE,dupontAssetStoEquity,dupontAssetTurn,dupontPnitoni,dupontNitogr,dupontTaxBurden,dupontIntburden,dupontEbittogr
sh.600186,2024-04-30,2023-12-31,0.088058,1.647960,0.863954,0.994242,0.062207,0.765123,1.135924,0.071575
sh.600187,2024-04-30,2023-12-31,0.009482,1.207936,0.056649,1.091089,0.126997,0.724641,1.000978,0.175084
sh.600188,2024-03-29,2023-12-31,0.240573,3.882678,0.461563,0.741746,0.180980,0.733648,0.910865,0.270825
sh.600189,2024-04-15,2023-12-31,-0.321640,3.243737,0.243346,1.059944,-0.384430,1.032282,1.059611,-0.351457
sh.600190,2024-04-27,2023-12-31,0.012249,2.602806,0.161461,1.044716,0.027899,0.761136,0.201160,0.182215
sh.600191,2024-04-26,2023-12-31,0.012501,1.280611,0.329615,1.000000,0.029615,0.665721,0.647440,0.068709
sh.600192,2024-04-16,2023-12-31,-0.073558,3.297246,0.430251,0.958499,-0.054096,1.010894,1.783348,-0.030007
sh.600193,2024-04-30,2023-12-31,-0.068704,2.353545,0.179982,1.000000,-0.162192,1.112341,1.189553,-0.122577
sh.600195,2024-04-10,2023-12-31,0.074525,1.560923,0.640415,1.161747,0.064172,0.853718,0.968199,0.077637
sh.600196,2024-03-27,2023-12-31,0.052871,2.444226,0.375279,0.824253,0.069930,0.886814,0.772541,0.102072
sh.600197,2024-04-26,2023-12-31,0.090788,1.285097,0.463819,0.983358,0.154894,0.755041,0.993257,0.206539
sh.600198,2024-04-26,2023-12-31,0.097377,7.986305,0.319669,0.463917,0.082219,1.007210,0.957545,0.085250
sh.600199,2024-04-30,2023-12-31,-0.008716,1.356742,0.427734,1.119775,-0.013413,-5.718904,-0.703073,-0.003336
sh.600200,2024-04-25,2023-12-31,-0.040559,2.321671,0.543904,0.966294,-0.033239,1.045838,-169.713002,0.000187
sh.600201,2024-04-26,2023-12-31,0.054340,1.270410,0.241025,1.023578,0.173378,0.877360,1.217703,0.162284
sh.600202,2024-04-09,2023-12-31,0.026011,3.288917,0.527295,0.863136,0.017377,1.018957,0.477577,0.035708
sh.600203,2024-04-12,2023-12-31,-0.130454,3.818870,1.269605,1.030240,-0.026117,1.119883,1.647411,-0.014156
sh.600206,2024-04-13,2023-12-31,0.061189,1.591205,1.837697,1.055464,0.019826,0.818304,0.906051,0.026740
sh.600207,2024-03-30,2023-12-31,-0.006187,2.304036,0.723431,-0.566721,0.006549,0.359452,0.566334,0.032173
sh.600208,2024-04-30,2023-12-31,0.038893,2.805540,0.146242,0.734935,0.128982,0.656485,0.649692,0.302409
