code,pubDate,statDate,CAToAsset,NCAToAsset,tangibleAssetToAsset,ebitToInterest,CFOToOR,CFOToNP,CFOToGr
sz.002277,2024-04-30,2023-12-31,0.229915,0.770085,0.333871,1.077624,0.306060,18.089583,0.301930
sz.002278,2024-04-27,2023-12-31,0.723741,0.276259,0.532494,8.647004,-0.079071,-1.605411,-0.079071
sz.002279,2024-04-26,2023-12-31,0.707440,0.292561,0.469296,,0.064171,,0.064171
sz.002280,2024-04-30,2023-12-31,0.435615,0.564385,-0.110424,-6.234916,-0.018894,,-0.018894
sz.002281,2024-04-26,2023-12-31,0.772192,0.227808,0.660970,,0.173269,1.696199,0.173269
sz.002282,2024-03-19,2023-12-31,0.485734,0.514266,0.533971,,0.101160,1.238688,0.101160
sz.002283,2024-03-20,2023-12-31,0.573059,0.426941,0.679641,,0.228804,2.354015,0.228804
sz.002284,2024-04-18,2023-12-31,0.673869,0.326131,0.414769,3.074727,0.182982,7.307558,0.182982
sz.002285,2024-03-30,2023-12-31,0.619451,0.380549,0.443351,-316.268796,0.132955,,0.132955
sz.002286,2024-02-07,2023-12-31,0.295562,0.704438,0.690592,4.780505,0.111844,5.230471,0.111844
sz.002287,2024-04-19,2023-12-31,0.507165,0.492835,0.527806,13.905718,0.339048,1.197223,0.339048
sz.002288,2024-04-30,2023-12-31,0.384483,0.615517,0.252759,-5.467691,0.281413,,0.281413
sz.002289,2024-04-29,2023-12-31,0.517135,0.482865,0.757032,2.772450,-0.047315,-7.613823,-0.047315
sz.002290,2024-03-20,2023-12-31,0.802019,0.197981,0.364051,7.955310,0.101897,2.881138,0.101897
sz.002291,2024-04-30,2023-12-31,0.443270,0.556730,0.372067,-28.233061,-0.046800,,-0.046800
sz.002292,2024-04-30,2023-12-31,0.349179,0.650821,0.296398,3.722180,0.071839,2.330843,0.071839
sz.002293,2024-04-27,2023-12-31,0.626430,0.373570,0.520339,,0.176012,1.638728,0.176012
sz.002294,2024-03-26,2023-12-31,0.352595,0.647405,0.551995,,0.249437,1.445250,0.249437
sz.002295,2024-04-27,2023-12-31,0.780489,0.219511,0.613936,4.505982,0.031497,3.572972,0.031497
sz.002296,2024-04-19,2023-12-31,0.567739,0.432261,0.672227,,0.234234,1.063165,0.234234
sz.002297,2024-04-03,2023-12-31,0.518750,0.481250,0.622026,,0.024236,0.488954,0.024236
sz.002298,2024-04-26,2023-12-31,0.627017,0.372984,0.273697,-16.472131,0.018674,,0.018674
sz.002299,2024-03-28,2023-12-31,0.304119,0.695881,0.434600,5.527387,0.123946,3.679515,0.123946
sz.002300,2024-04-11,2023-12-31,0.602031,0.397969,0.237935,6.014284,0.011507,0.887596,0.011507
sz.002301,2024-04-23,2023-12-31,0.858225,0.141775,0.319777,,0.057105,10.370182,0.057105
sz.002302,2024-04-03,2023-12-31,0.839707,0.160293,0.263046,7.314520,0.014385,0.453633,0.014385
sz.002303,2024-04-12,2023-12-31,0.496396,0.503604,0.615053,,0.136758,2.396488,0.136758
sz.002304,2024-04-27,2023-12-31,0.752730,0.247270,0.695708,,0.185056,0.611752,0.185056
sz.002305,2024-04-25,2023-12-31,0.665907,0.334093,0.002408,-2.664786,1.490547,,1.490547
sz.002306,2024-04-30,2023-12-31,0.185677,0.814323,-0.055201,-17.104763,0.042049,,0.042049
sz.002307,2024-04-20,2023-12-31,0.256622,0.743378,-0.247567,1.171271,0.068241,7.724533,0.068241
sz.002309,2024-04-24,2023-12-31,0.435829,0.564171,-0.116234,-4.332347,0.071499,,0.071499
sz.002310,2024-04-27,2023-12-31,0.486804,0.513196,-0.044050,-4.303054,-0.442275,,-0.442275
sz.002311,2024-04-23,2023-12-31,0.467197,0.532803,0.371902,10.495069,0.109358,4.422185,0.109358
sz.002312,2024-04-23,2023-12-31,0.329365,0.670635,0.379078,5.841161,0.105592,1.953560,0.105592
sz.002313,2024-03-29,2023-12-31,0.645175,0.354825,-0.175824,-3.938609,-0.064065,,-0.064065
sz.002314,2024-03-30,2023-12-31,0.523018,0.476982,0.048157,1.068267,0.472847,9.669854,0.472847
sz.002315,2024-02-23,2023-12-31,0.515085,0.484915,0.604769,,0.419267,1.665531,0.417282
sz.002316,2024-04-30,2023-12-31,0.831242,0.168758,0.040298,-15.901268,0.029123,,0.029123
sz.002317,2024-04-23,2023-12-31,0.613237,0.386763,0.482590,18.400239,0.073017,0.762757,0.073017
sz.002318,2024-04-30,2023-12-31,0.663607,0.336393,0.526917,,0.205312,1.179273,0.205312
sz.002319,2024-04-27,2023-12-31,0.435519,0.564481,0.103466,1.249265,0.086072,9.157225,0.086072
sz.002320,2024-03-30,2023-12-31,0.260644,0.739356,0.489637,,0.452863,1.453299,0.452863
sz.002321,2024-04-20,2023-12-31,0.511974,0.488026,0.184935,1.863668,-0.035893,-2.293453,-0.035893
sz.002322,2024-04-12,2023-12-31,0.440313,0.559687,0.523727,,0.306118,1.364002,0.305396
sz.002323,2024-03-30,2023-12-31,0.822081,0.177919,0.480144,-8.629730,-0.046270,,-0.046270
sz.002324,2024-04-19,2023-12-31,0.661000,0.339000,0.290066,6.424725,0.095956,1.767303,0.095956
sz.002325,2024-04-30,2023-12-31,0.757087,0.242913,0.205044,-4.494154,0.236831,,0.236831
sz.002326,2024-04-26,2023-12-31,0.332851,0.667149,0.148805,-5.372188,-0.079729,,-0.079729
sz.002327,2024-04-26,2023-12-31,0.602727,0.397273,0.738161,,0.252850,1.338976,0.252850
sz.002328,2024-04-25,2023-12-31,0.574430,0.425570,0.505581,,0.093160,1.845389,0.093160
sz.002329,2024-04-26,2023-12-31,0.473167,0.526833,0.271378,1.664800,0.155689,6.318279,0.155689
sz.002330,2024-04-24,2023-12-31,0.529216,0.470784,0.639512,-7.604754,-0.044356,,-0.044356
sz.002331,2024-04-27,2023-12-31,0.794067,0.205933,0.502539,,-0.131820,,-0.131820
sz.002332,2024-04-25,2023-12-31,0.486194,0.513806,0.712286,,0.144415,1.059354,0.144415
sz.002333,2024-04-26,2023-12-31,0.664846,0.335154,0.480859,5.342305,-0.115585,-3.373678,-0.115585
sz.002334,2024-04-09,2023-12-31,0.722134,0.277866,0.454217,40.387373,0.132545,1.853918,0.132545
sz.002335,2024-04-26,2023-12-31,0.514697,0.485303,0.245518,9.093489,0.172179,2.691426,0.172179
sz.002336,2024-04-19,2023-12-31,0.229700,0.770300,-0.130913,-3.621743,0.073203,,0.073203
sz.002337,2024-04-25,2023-12-31,0.864607,0.135393,0.610641,,-0.070709,-0.758032,-0.070697
sz.002338,2024-04-26,2023-12-31,0.537131,0.462869,0.390942,23.607338,0.120718,0.757462,0.120718
sz.002339,2024-04-26,2023-12-31,0.787828,0.212172,0.361605,5.122527,0.058303,1.800363,0.058303
sz.002340,2024-04-27,2023-12-31,0.467013,0.532987,0.306089,3.211858,0.070899,1.862561,0.070899
sz.002341,2024-04-30,2023-12-31,0.176973,0.823027,-0.176890,-2.600872,0.075990,,0.075990
